email_text,label
Invoice attached for your review.,1
Reminder: Your password will expire soon.,1
Team lunch is scheduled for Friday.,0
We've detected suspicious activity on your account.,0
Invoice attached for your review.,0
Please find the agenda attached.,1
Congratulations! You've won a $1000 gift card.,1
Invoice attached for your review.,0
Team lunch is scheduled for Friday.,0
We've detected suspicious activity on your account.,1
Reminder: Your password will expire soon.,1
Team lunch is scheduled for Friday.,1
Team lunch is scheduled for Friday.,1
Congratulations! You've won a $1000 gift card.,1
Meeting schedule for next week.,1
We've detected suspicious activity on your account.,1
Please update your billing information.,0
Team lunch is scheduled for Friday.,0
Meeting schedule for next week.,0
Please update your billing information.,0
We've detected suspicious activity on your account.,0
"Your account has been suspended, click here to verify.",0
Please find the agenda attached.,1
Meeting schedule for next week.,0
Here are the project updates.,1
"Your account has been suspended, click here to verify.",1
Please find the agenda attached.,1
Congratulations! You've won a $1000 gift card.,1
Invoice attached for your review.,0
Reminder: Your password will expire soon.,0
Here are the project updates.,1
Congratulations! You've won a $1000 gift card.,0
We've detected suspicious activity on your account.,1
Congratulations! You've won a $1000 gift card.,0
Invoice attached for your review.,1
We've detected suspicious activity on your account.,0
Here are the project updates.,0
Invoice attached for your review.,1
Please update your billing information.,0
Reminder: Your password will expire soon.,1
Here are the project updates.,0
Please update your billing information.,0
Please find the agenda attached.,0
Here are the project updates.,0
Please find the agenda attached.,1
We've detected suspicious activity on your account.,1
Please update your billing information.,0
Reminder: Your password will expire soon.,0
Invoice attached for your review.,1
Team lunch is scheduled for Friday.,0
Congratulations! You've won a $1000 gift card.,1
"Your account has been suspended, click here to verify.",0
Reminder: Your password will expire soon.,0
Please update your billing information.,0
Team lunch is scheduled for Friday.,0
Reminder: Your password will expire soon.,1
Please update your billing information.,1
Meeting schedule for next week.,1
Meeting schedule for next week.,0
Please find the agenda attached.,0
Reminder: Your password will expire soon.,0
Meeting schedule for next week.,0
Please update your billing information.,0
Please find the agenda attached.,1
Please update your billing information.,1
Please find the agenda attached.,1
Reminder: Your password will expire soon.,0
Team lunch is scheduled for Friday.,1
Invoice attached for your review.,0
Here are the project updates.,1
Team lunch is scheduled for Friday.,1
We've detected suspicious activity on your account.,1
Please update your billing information.,1
We've detected suspicious activity on your account.,1
Team lunch is scheduled for Friday.,0
Please find the agenda attached.,1
Here are the project updates.,1
Here are the project updates.,1
"Your account has been suspended, click here to verify.",1
Here are the project updates.,0
Invoice attached for your review.,0
Here are the project updates.,1
Team lunch is scheduled for Friday.,1
"Your account has been suspended, click here to verify.",1
Team lunch is scheduled for Friday.,1
Team lunch is scheduled for Friday.,1
Congratulations! You've won a $1000 gift card.,1
"Your account has been suspended, click here to verify.",0
Team lunch is scheduled for Friday.,0
Congratulations! You've won a $1000 gift card.,0
Congratulations! You've won a $1000 gift card.,1
"Your account has been suspended, click here to verify.",0
We've detected suspicious activity on your account.,0
Please find the agenda attached.,1
Invoice attached for your review.,0
Please find the agenda attached.,0
Here are the project updates.,1
Invoice attached for your review.,1
Here are the project updates.,1
Team lunch is scheduled for Friday.,0
